"","age","job","marital","education","contact","days_since._signed_in","Time.spend.on.website","Number_of_campaigns","previous_purchases","Purchase_Made"
"64",48,"services","married","secondary","cellular",4,134,2,0,"no"
"65",56,"admin.","married","secondary","cellular",7,223,1,0,"no"
"66",51,"blue-collar","divorced","secondary","cellular",8,134,1,5,"no"
"67",31,"services","married","secondary","cellular",28,155,1,0,"no"
"68",29,"technician","married","secondary","cellular",21,130,4,0,"no"
"69",41,"management","married","secondary","cellular",7,630,3,0,"no"
"70",32,"technician","single","tertiary","cellular",19,164,2,0,"no"
"71",37,"management","married","tertiary","cellular",16,268,2,3,"yes"
"72",42,"entrepreneur","divorced","tertiary","unknown",5,380,1,0,"no"
"73",31,"management","single","tertiary","unknown",9,154,2,0,"no"
"74",41,"services","married","tertiary","unknown",3,154,5,0,"no"
"75",56,"retired","married","secondary","unknown",15,221,1,0,"no"
"76",54,"management","divorced","tertiary","cellular",14,67,2,0,"no"
"77",41,"blue-collar","divorced","secondary","cellular",14,367,2,1,"no"
"78",40,"technician","single","secondary","cellular",14,87,6,0,"no"
"79",50,"blue-collar","divorced","primary","cellular",5,701,1,0,"no"
"80",41,"unemployed","married","secondary","cellular",17,185,2,1,"no"
"81",27,"admin.","divorced","secondary","cellular",16,652,1,0,"yes"
"82",60,"retired","married","primary","cellular",26,63,2,0,"no"
"83",28,"admin.","single","secondary","cellular",6,150,1,0,"no"
"84",52,"services","married","secondary","telephone",7,398,2,2,"yes"
"85",37,"management","married","tertiary","cellular",30,224,1,0,"yes"
"86",51,"blue-collar","married","primary","unknown",7,406,2,0,"no"
"87",41,"technician","single","secondary","cellular",7,60,4,0,"no"
"88",35,"blue-collar","single","primary","unknown",30,521,2,0,"no"
"89",38,"admin.","married","secondary","cellular",17,279,1,0,"no"
"90",34,"blue-collar","married","secondary","unknown",20,203,2,0,"no"
"91",39,"blue-collar","married","primary","cellular",18,201,2,0,"no"
"92",34,"blue-collar","married","primary","unknown",20,372,3,0,"no"
"94",32,"management","single","tertiary","cellular",14,165,2,0,"no"
"95",57,"blue-collar","married","secondary","cellular",11,231,5,0,"no"
"96",41,"admin.","married","tertiary","unknown",14,149,2,0,"no"
"97",30,"admin.","single","tertiary","cellular",19,233,1,20,"no"
"98",36,"blue-collar","divorced","secondary","cellular",12,473,1,1,"no"
"99",31,"unemployed","single","primary","cellular",4,736,1,0,"yes"
"100",36,"blue-collar","married","secondary","unknown",6,337,1,0,"no"
"101",38,"management","single","tertiary","cellular",11,553,1,7,"no"
"102",49,"technician","married","secondary","telephone",21,345,2,0,"no"
"103",57,"services","single","primary","telephone",13,65,2,0,"no"
"104",34,"management","single","secondary","unknown",13,9,1,0,"no"
"105",32,"management","single","tertiary","cellular",14,259,2,3,"no"
"106",37,"blue-collar","married","secondary","unknown",9,371,3,0,"no"
"107",33,"self-employed","married","tertiary","cellular",3,280,2,0,"no"
"108",56,"unemployed","married","primary","cellular",21,243,1,0,"yes"
"109",27,"housemaid","married","primary","cellular",23,435,3,0,"no"
"110",21,"student","single","secondary","cellular",30,258,6,3,"yes"
"111",58,"management","married","tertiary","telephone",29,7,5,0,"no"
"112",32,"self-employed","married","secondary","cellular",15,317,5,0,"no"
"113",33,"blue-collar","single","secondary","cellular",30,76,2,1,"no"
"114",25,"student","single","secondary","telephone",26,170,4,0,"yes"
"115",25,"technician","single","secondary","cellular",17,386,2,0,"yes"
"117",22,"admin.","single","secondary","cellular",19,65,1,0,"no"
"118",39,"blue-collar","married","primary","cellular",15.91,69,1,0,"no"
"120",31,"admin.","divorced","secondary","cellular",21,588,1,0,"no"
"121",45,"blue-collar","married","primary","cellular",18,113,4,0,"no"
"122",32,"technician","married","secondary","unknown",21,16,1,0,"no"
"123",36,"blue-collar","married","secondary","cellular",15,779,2,0,"no"
"124",51,"management","single","tertiary","cellular",11,281,2,6,"no"
"125",34,"self-employed","single","tertiary","cellular",21,1877,3,0,"yes"
"126",24,"unemployed","single","secondary","unknown",15,51,1,0,"no"
"127",45,"technician","single","secondary","cellular",28,32,3,0,"no"
"128",32,"blue-collar","single","secondary","telephone",5,176,1,3,"no"
"129",77,"retired","divorced","tertiary","cellular",14,161,1,0,"yes"
"130",41,"blue-collar","married","primary","cellular",18,187,3,0,"no"
"132",43,"blue-collar","married","unknown","unknown",30,67,3,0,"no"
"133",48,"admin.","married","unknown","cellular",8,85,1,2,"no"
"134",27,"technician","single","secondary","unknown",9,317,2,0,"no"
"135",33,"management","single","tertiary","cellular",28,236,10,0,"no"
"136",29,"admin.","single","secondary","cellular",7,54,1,2,"no"
"137",34,"management","single","tertiary","cellular",5,71,1,0,"no"
"138",52,"management","married","tertiary","cellular",4,489,1,0,"yes"
"139",60,"management","married","unknown","unknown",19,39,2,0,"no"
"140",32,"management","divorced","tertiary","cellular",12,204,2,0,"no"
"141",32,"management","single","tertiary","cellular",22,455,2,0,"no"
"143",31,"management","single","tertiary","cellular",18,190,2,0,"no"
"144",42,"admin.","married","secondary","unknown",8,280,2,0,"no"
"145",35,"management","married","tertiary","cellular",11,588,2,0,"no"
"146",56,"retired","married","primary","unknown",19,45,9,0,"no"
"147",48,"technician","married","secondary","cellular",21,168,5,0,"no"
"148",46,"admin.","married","secondary","cellular",29,194,4,1,"no"
"149",37,"technician","single","unknown","unknown",8,103,3,0,"no"
"150",41,"entrepreneur","married","unknown","unknown",6,333,2,0,"no"
"151",36,"management","single","tertiary","cellular",29,102,3,0,"no"
"152",45,"unemployed","divorced","primary","unknown",1,92,1,0,"no"
"153",55,"entrepreneur","married","secondary","cellular",6,213,2,0,"no"
"154",39,"technician","married","secondary","unknown",26,289,1,0,"no"
"155",35,"technician","divorced","secondary","cellular",22,77,2,0,"no"
"156",55,"admin.","married","secondary","cellular",1,324,3,2,"yes"
"158",27,"self-employed","single","secondary","cellular",29,168,1,0,"no"
"159",34,"technician","married","secondary","cellular",17,380,1,0,"no"
"160",34,"blue-collar","married","tertiary","unknown",4,10,1,0,"no"
"161",25,"admin.","single","secondary","unknown",28,199,2,0,"no"
"162",41,"admin.","single","secondary","unknown",9,35,3,0,"no"
"163",43,"services","married","secondary","unknown",26,82,2,0,"no"
"164",28,"management","single","tertiary","cellular",20,676,2,2,"yes"
"165",31,"admin.","single","secondary","unknown",3,455,1,0,"no"
"166",78,"housemaid","married","secondary","telephone",16,80,4,0,"no"
"167",45,"blue-collar","divorced","secondary","cellular",29,549,2,0,"no"
"168",48,"technician","married","tertiary","unknown",6,135,1,0,"no"
"169",32,"blue-collar","single","secondary","cellular",10,412,1,0,"no"
"171",37,"management","single","tertiary","cellular",28,253,2,0,"no"
"172",40,"admin.","single","secondary","cellular",6,272,1,4,"no"
"173",32,"admin.","married","secondary","cellular",17,84,1,0,"no"
"174",42,"management","married","tertiary","cellular",20,135,2,0,"no"
"175",43,"admin.","married","secondary","cellular",23,166,1,0,"no"
"176",44,"admin.","married","secondary","cellular",31,18,7,0,"no"
"177",37,"admin.","married","secondary","cellular",5,147,2,1,"no"
"178",37,"admin.","married","tertiary","cellular",17,65,2,1,"no"
"179",28,"technician","single","tertiary","cellular",2,194,2,0,"no"
"180",32,"services","single","secondary","cellular",11,333,2,0,"no"
"181",34,"admin.","single","secondary","cellular",15,14,5,0,"no"
"182",40,"admin.","divorced","secondary","unknown",11,140,1,0,"no"
"183",34,"services","married","secondary","unknown",16,109,3,0,"no"
"184",34,"self-employed","married","tertiary","cellular",23,61,2,0,"no"
"185",34,"admin.","married","tertiary","telephone",19,377,3,4,"no"
"186",37,"services","single","secondary","cellular",2,96,1,2,"no"
"187",36,"technician","married","secondary","cellular",8,152,2,1,"no"
"188",56,"retired","married","secondary","cellular",15,382,2,0,"yes"
"189",49,"blue-collar","married","primary","telephone",23,97,6,0,"no"
"190",33,"self-employed","married","secondary","cellular",29,543,12,0,"no"
"191",30,"management","single","tertiary","cellular",20,240,2,0,"no"
"192",36,"services","married","secondary","unknown",17,48,2,0,"no"
"193",23,"student","single","secondary","cellular",5,471,2,0,"no"
"194",57,"retired","divorced","secondary","cellular",15.91,354,3,0,"no"
"195",27,"blue-collar","single","secondary","unknown",30,435,2,0,"no"
"196",38,"services","married","secondary","cellular",21,152,2,0,"no"
"197",42,"technician","married","tertiary","cellular",3,285,1,0,"no"
"198",75,"retired","married","secondary","telephone",15,185,1,2,"yes"
"199",34,"technician","single","tertiary","cellular",4,301,1,2,"no"
"200",48,"technician","married","secondary","cellular",6,273,2,0,"no"
"201",35,"technician","single","tertiary","cellular",19,768,2,3,"yes"
"202",39,"management","divorced","tertiary","cellular",19,1337,4,1,"no"
"203",29,"blue-collar","single","tertiary","telephone",21,403,1,0,"yes"
"204",45,"technician","single","tertiary","cellular",18,139,2,0,"no"
"205",42,"technician","married","secondary","cellular",9,196,1,0,"no"
"206",29,"technician","married","secondary","cellular",8,115,1,1,"no"
"207",38,"services","single","secondary","cellular",2,60,1,1,"no"
"208",56,"retired","married","secondary","cellular",28,17,14,0,"no"
"209",36,"technician","single","secondary","cellular",13,141,3,0,"no"
"210",25,"blue-collar","single","secondary","unknown",23,95,3,0,"no"
"212",41,"self-employed","married","secondary","cellular",19,198,1,0,"no"
"213",31,"management","married","tertiary","cellular",12,220,4,0,"no"
"214",42,"management","married","tertiary","cellular",3,654,2,0,"yes"
"215",45,"technician","married","secondary","cellular",11,71,2,0,"no"
"216",30,"blue-collar","married","secondary","cellular",13,256,2,2,"no"
"217",49,"blue-collar","married","primary","telephone",10,834,10,0,"no"
"218",49,"services","married","secondary","cellular",21,151,3,0,"no"
"219",53,"retired","married","tertiary","cellular",31,20,3,0,"no"
"220",37,"technician","married","secondary","unknown",26,178,5,0,"no"
"221",49,"blue-collar","married","primary","unknown",26,59,2,0,"no"
"222",41,"self-employed","married","primary","cellular",13,111,7,0,"no"
"223",54,"management","married","primary","cellular",20,186,1,0,"no"
"224",32,"services","single","secondary","unknown",6,227,1,0,"no"
"225",33,"technician","married","secondary","cellular",15,297,3,0,"no"
"226",33,"technician","married","secondary","cellular",20,210,1,1,"no"
"227",36,"blue-collar","married","primary","cellular",18,9,1,0,"no"
"228",35,"technician","married","tertiary","cellular",23,112,1,6,"no"
"229",40,"entrepreneur","married","tertiary","unknown",9,222,3,0,"no"
"230",44,"technician","single","secondary","cellular",13,195,3,10,"no"
"231",45,"blue-collar","single","secondary","cellular",26,768,2,5,"no"
"232",30,"student","single","secondary","cellular",26,123,1,0,"no"
"233",48,"technician","divorced","secondary","cellular",27,145,3,0,"no"
"234",33,"blue-collar","married","secondary","cellular",2,124,1,2,"no"
"235",57,"technician","married","unknown","unknown",5,216,3,0,"no"
"236",57,"housemaid","married","primary","unknown",6,69,3,0,"no"
"237",51,"unemployed","married","tertiary","cellular",22,168,4,0,"no"
"238",34,"admin.","single","secondary","cellular",22,483,7,0,"no"
"239",50,"self-employed","married","tertiary","cellular",19,690,3,0,"no"
"240",44,"management","married","tertiary","cellular",28,125,12,0,"no"
"241",27,"admin.","married","secondary","unknown",4,344,2,0,"no"
"242",50,"blue-collar","married","secondary","unknown",14,673,2,0,"no"
"243",36,"management","married","tertiary","cellular",28,60,1,1,"no"
"244",42,"management","married","secondary","unknown",12,247,2,0,"no"
"245",32,"unemployed","single","secondary","cellular",27,123,2,0,"no"
"246",42,"management","married","tertiary","cellular",11,144,2,0,"no"
"247",43,"technician","married","secondary","cellular",8,9,2,5,"no"
"248",31,"management","married","tertiary","cellular",9,155,3,0,"no"
"249",32,"management","married","tertiary","cellular",14,134,5,0,"no"
"250",55,"blue-collar","divorced","primary","cellular",11,221,2,0,"no"
"252",46,"blue-collar","married","primary","cellular",8,71,2,0,"no"
"253",55,"blue-collar","married","secondary","unknown",23,246,4,0,"no"
"254",34,"management","married","tertiary","cellular",23,361,2,0,"no"
"255",28,"unemployed","single","secondary","cellular",12,119,4,0,"no"
"256",42,"technician","divorced","tertiary","cellular",29,375,2,0,"no"
"257",29,"blue-collar","single","secondary","cellular",10,1097,3,0,"yes"
"258",54,"housemaid","married","secondary","cellular",25,97,1,0,"no"
"259",32,"technician","single","secondary","cellular",26,181,2,0,"no"
"260",39,"technician","single","tertiary","cellular",2,83,3,0,"no"
"261",53,"entrepreneur","married","tertiary","cellular",21,180,4,0,"no"
"262",58,"technician","married","tertiary","cellular",18,543,1,2,"no"
"263",40,"self-employed","married","secondary","unknown",23,373,1,0,"no"
"264",29,"student","single","secondary","unknown",7,230,1,0,"no"
"265",33,"technician","married","tertiary","cellular",15,83,3,0,"no"
"266",38,"admin.","single","secondary","telephone",31,58,13,0,"no"
"267",56,"services","divorced","secondary","cellular",29,88,6,0,"no"
"268",40,"services","married","secondary","cellular",2,297,1,3,"no"
"269",24,"blue-collar","single","secondary","cellular",18,487,1,0,"yes"
"270",46,"management","married","secondary","unknown",20,29,3,0,"no"
"271",35,"self-employed","married","secondary","cellular",21,484,4,0,"no"
"272",35,"blue-collar","single","tertiary","cellular",21,262,4,0,"no"
"273",34,"technician","married","secondary","unknown",15,644,1,0,"no"
"274",35,"housemaid","married","tertiary","cellular",12,699,2,1,"no"
"275",38,"technician","single","tertiary","cellular",28,247,2,0,"no"
"276",50,"blue-collar","married","primary","cellular",18,49,3,0,"no"
"277",51,"blue-collar","divorced","primary","cellular",13,341,1,0,"no"
"278",59,"self-employed","married","tertiary","unknown",13,64,2,0,"no"
"279",32,"blue-collar","married","secondary","cellular",20,121,1,0,"no"
"280",37,"blue-collar","single","secondary","unknown",2,98,1,0,"no"
"281",42,"admin.","divorced","secondary","unknown",16,88,6,0,"no"
"282",40,"student","married","secondary","unknown",20,197,6,0,"no"
"283",28,"technician","single","tertiary","unknown",9,331,1,0,"no"
"284",47,"admin.","married","secondary","unknown",6,83,3,0,"no"
"285",27,"self-employed","married","secondary","unknown",26,138,2,0,"no"
"286",41,"management","married","tertiary","cellular",17,312,5,0,"no"
"287",34,"admin.","married","tertiary","cellular",4,120,3,6,"yes"
"288",50,"blue-collar","married","primary","cellular",7,526,2,0,"yes"
"289",47,"blue-collar","married","secondary","unknown",28,211,2,0,"no"
"290",53,"services","married","secondary","cellular",18,62,6,0,"no"
"291",53,"technician","divorced","secondary","cellular",15,135,5,0,"no"
"292",47,"management","married","tertiary","cellular",14,101,2,0,"no"
"293",49,"entrepreneur","divorced","unknown","cellular",30,988,2,0,"yes"
"294",29,"management","married","tertiary","cellular",28,451,1,0,"no"
"295",45,"blue-collar","divorced","primary","unknown",23,1030,1,0,"yes"
"296",38,"entrepreneur","married","secondary","cellular",24,1484,24,0,"yes"
"297",32,"blue-collar","married","secondary","cellular",9,317,5,0,"yes"
"298",70,"retired","divorced","primary","cellular",18,445,1,0,"no"
"299",65,"retired","divorced","primary","cellular",1,383,2,5,"no"
"300",56,"blue-collar","married","secondary","telephone",22,605,1,0,"no"
"301",35,"blue-collar","married","secondary","cellular",14,330,2,0,"no"
"302",56,"management","married","unknown","cellular",25,171,2,0,"no"
"303",56,"technician","married","secondary","cellular",23,442,2,0,"no"
"304",49,"entrepreneur","married","secondary","cellular",17,772,1,0,"yes"
"305",38,"unemployed","married","primary","unknown",8,249,5,0,"no"
"307",38,"admin.","married","tertiary","cellular",18,147,2,0,"no"
"308",49,"blue-collar","married","secondary","cellular",6,199,7,1,"no"
"309",41,"management","married","unknown","cellular",28,271,2,0,"no"
"310",43,"blue-collar","single","primary","cellular",30,783,3,0,"no"
"311",43,"management","married","tertiary","cellular",20,472,2,0,"no"
"312",25,"admin.","single","tertiary","cellular",27,223,3,2,"yes"
"313",30,"blue-collar","married","primary","unknown",21,395,2,0,"no"
"314",46,"blue-collar","married","secondary","cellular",4,56,1,0,"no"
"315",50,"admin.","married","primary","unknown",17,641,6,0,"no"
"316",35,"entrepreneur","married","secondary","cellular",4,429,4,2,"yes"
"317",26,"unemployed","single","secondary","unknown",31,113,1,0,"no"
"318",45,"admin.","married","unknown","unknown",20,11,11,0,"no"
"319",37,"blue-collar","married","secondary","cellular",2,157,1,0,"no"
"320",60,"self-employed","single","tertiary","cellular",29,79,4,0,"no"
"321",38,"management","married","tertiary","cellular",4,178,1,1,"yes"
"322",47,"blue-collar","married","primary","unknown",9,168,1,0,"no"
"323",33,"technician","married","secondary","cellular",9,425,1,1,"no"
"324",51,"unemployed","married","secondary","cellular",19,162,1,0,"no"
"325",35,"entrepreneur","single","tertiary","cellular",18,799,2,0,"yes"
"326",35,"unemployed","married","secondary","cellular",29,1370,3,3,"yes"
"327",48,"admin.","single","secondary","unknown",28,357,1,0,"no"
"328",37,"admin.","married","secondary","cellular",22,22,6,0,"no"
"329",29,"technician","single","tertiary","cellular",16,215,3,3,"no"
"330",34,"admin.","married","secondary","cellular",31,56,4,0,"no"
"331",32,"services","married","primary","cellular",21,1017,6,0,"yes"
"332",30,"management","single","tertiary","cellular",16,298,4,0,"yes"
"333",47,"management","divorced","tertiary","unknown",7,126,1,0,"no"
"334",33,"blue-collar","married","primary","unknown",20,9,1,0,"no"
"335",33,"management","single","tertiary","cellular",5,8,1,5,"no"
"336",63,"retired","married","primary","cellular",14,201,1,1,"no"
"337",51,"self-employed","divorced","primary","cellular",6,106,2,0,"no"
"338",41,"management","married","tertiary","cellular",21,164,1,1,"no"
"339",56,"retired","married","tertiary","cellular",5,97,1,0,"no"
"340",60,"management","single","tertiary","cellular",23,151,1,0,"no"
"341",41,"self-employed","single","tertiary","unknown",30,96,2,0,"no"
"342",37,"management","single","unknown","cellular",16,555,1,0,"no"
"343",36,"blue-collar","single","secondary","cellular",11,270,2,1,"no"
"344",57,"management","married","tertiary","cellular",29,339,3,0,"no"
"345",55,"management","married","primary","cellular",4,328,2,2,"yes"
"346",44,"admin.","married","secondary","unknown",16,159,1,0,"no"
"347",47,"self-employed","married","tertiary","cellular",6,323,2,1,"no"
"348",31,"blue-collar","married","secondary","cellular",20,342,1,0,"no"
"349",35,"management","married","tertiary","cellular",21,180,1,0,"no"
"350",39,"management","married","tertiary","cellular",28,60,3,0,"no"
"351",50,"management","married","tertiary","cellular",17,223,1,2,"no"
"352",29,"management","married","tertiary","cellular",18,1434,2,4,"no"
"353",30,"services","single","secondary","unknown",6,30,2,0,"no"
"354",46,"services","married","secondary","unknown",16,134,4,0,"no"
"355",27,"management","single","unknown","cellular",9,10,2,0,"no"
"356",48,"admin.","divorced","secondary","cellular",2,397,2,0,"yes"
"357",26,"student","single","secondary","cellular",5,620,1,0,"no"
"358",36,"management","single","tertiary","cellular",21,6,6,0,"no"
"359",42,"blue-collar","married","primary","cellular",7,209,2,0,"no"
"360",50,"housemaid","married","primary","unknown",15,419,2,0,"no"
"361",49,"blue-collar","married","secondary","cellular",18,283,2,0,"no"
"362",45,"management","married","tertiary","cellular",8,188,2,0,"no"
"363",23,"student","single","secondary","cellular",16,267,1,0,"no"
"364",38,"technician","single","secondary","cellular",7,196,2,0,"no"
"365",32,"management","single","tertiary","cellular",17,245,1,2,"no"
"366",60,"technician","single","primary","cellular",26,323,1,0,"yes"
"367",30,"entrepreneur","married","secondary","cellular",19,1065,1,1,"no"
"368",58,"housemaid","married","tertiary","unknown",11,138,5,0,"no"
"369",60,"retired","married","primary","cellular",4,207,1,0,"no"
"370",38,"services","married","secondary","unknown",25,456,3,0,"no"
"371",51,"technician","married","secondary","cellular",5,261,1,0,"no"
"372",42,"admin.","married","secondary","cellular",11,80,1,4,"no"
"373",30,"services","single","secondary","cellular",18,131,6,9,"no"
"374",40,"management","married","primary","unknown",6,94,7,0,"no"
"375",37,"management","married","tertiary","cellular",14,567,3,4,"yes"
"376",53,"technician","divorced","primary","unknown",30,153,1,0,"no"
"377",27,"services","single","secondary","cellular",13,109,1,0,"no"
"378",39,"blue-collar","married","secondary","cellular",30,53,1,1,"no"
"379",39,"blue-collar","married","primary","unknown",16,77,1,0,"no"
"380",59,"retired","married","tertiary","telephone",27,234,2,0,"yes"
"381",37,"services","married","secondary","telephone",13,121,2,4,"no"
"382",41,"blue-collar","married","primary","cellular",15,155,2,0,"no"
"383",45,"blue-collar","married","primary","cellular",17,108,1,0,"no"
"384",48,"management","married","tertiary","unknown",17,159,3,0,"no"
"385",48,"technician","married","secondary","unknown",26,208,3,0,"no"
"386",32,"blue-collar","married","secondary","cellular",12,215,1,0,"no"
"387",35,"services","married","secondary","unknown",6,597,3,0,"no"
"388",33,"management","single","tertiary","cellular",4,505,2,1,"no"
"389",28,"blue-collar","single","primary","unknown",3,380,4,0,"no"
"390",64,"retired","married","unknown","cellular",12,120,1,0,"no"
"391",35,"technician","married","secondary","cellular",27,106,4,0,"no"
"392",33,"blue-collar","married","secondary","cellular",14,332,2,2,"no"
"393",41,"technician","married","secondary","unknown",15,221,4,0,"no"
"394",34,"admin.","married","secondary","cellular",4,80,1,0,"no"
"395",37,"technician","single","tertiary","cellular",4,60,5,1,"no"
"396",38,"blue-collar","married","primary","telephone",13,212,3,0,"no"
"397",39,"blue-collar","married","primary","cellular",14,493,3,0,"no"
"398",35,"technician","divorced","tertiary","cellular",19,98,2,0,"no"
"399",28,"blue-collar","single","secondary","cellular",8,681,1,0,"yes"
"400",27,"blue-collar","single","secondary","cellular",22,203,1,0,"no"
"401",48,"retired","married","primary","cellular",19,157,1,0,"no"
"402",50,"blue-collar","married","secondary","unknown",16,287,1,0,"no"
"403",45,"self-employed","married","secondary","cellular",7,159,2,0,"no"
"404",41,"technician","married","tertiary","unknown",14,125,1,0,"no"
"405",39,"technician","married","secondary","cellular",8,202,2,0,"no"
"406",44,"management","married","secondary","telephone",8,37,3,1,"no"
"407",54,"admin.","married","secondary","cellular",28,161,1,2,"yes"
"408",49,"management","married","tertiary","cellular",6,72,4,0,"no"
"409",34,"blue-collar","single","secondary","cellular",2,342,1,0,"no"
"410",75,"retired","divorced","tertiary","cellular",16,262,1,1,"yes"
"411",42,"management","married","tertiary","cellular",13,325,2,0,"no"
"412",53,"blue-collar","married","secondary","telephone",19,223,7,0,"no"
"413",49,"management","divorced","tertiary","cellular",31,1212,4,0,"yes"
"414",31,"services","single","secondary","cellular",29,319,2,0,"no"
"415",45,"blue-collar","single","primary","cellular",29,182,2,0,"no"
"416",39,"self-employed","married","secondary","cellular",17,330,1,0,"no"
"417",46,"technician","married","secondary","cellular",19,514,1,0,"no"
"418",42,"admin.","divorced","secondary","unknown",14,213,1,0,"no"
"419",37,"management","married","tertiary","cellular",7,551,1,1,"no"
"420",26,"technician","single","tertiary","cellular",16,472,2,0,"no"
"421",37,"management","single","tertiary","cellular",15,140,4,2,"no"
"422",36,"services","single","secondary","unknown",7,142,1,0,"no"
"423",29,"blue-collar","single","primary","unknown",4,135,3,0,"no"
"424",36,"blue-collar","married","primary","unknown",23,293,1,0,"no"
"425",26,"technician","married","tertiary","unknown",13,107,1,0,"no"
"426",32,"blue-collar","married","secondary","unknown",20,127,2,0,"no"
"427",40,"management","married","tertiary","cellular",20,1816,1,0,"no"
"428",53,"management","married","primary","cellular",4,200,3,0,"no"
"429",29,"management","married","tertiary","cellular",12,418,1,0,"no"
"430",34,"technician","single","tertiary","cellular",22,387,4,0,"no"
"431",43,"blue-collar","married","secondary","cellular",5,156,1,3,"no"
"432",56,"management","married","tertiary","cellular",21,121,2,0,"no"
"433",55,"entrepreneur","divorced","tertiary","unknown",6,108,2,0,"no"
"434",31,"self-employed","married","tertiary","cellular",7,47,1,0,"no"
"435",27,"admin.","single","secondary","cellular",20,16,5,4,"no"
"436",36,"management","married","secondary","cellular",18,54,2,0,"no"
"437",44,"management","married","tertiary","cellular",6,265,2,0,"no"
"438",37,"admin.","divorced","tertiary","unknown",23,168,1,0,"no"
"439",30,"admin.","single","secondary","cellular",7,115,3,0,"no"
"440",42,"technician","single","secondary","cellular",26,31,8,0,"no"
"441",30,"management","married","tertiary","telephone",25,279,4,0,"yes"
