age,job,marital,education,contact,days_since _signed_in,Time spend on website,Number_of_campaigns,previous_purchases,Purchase_Made
28,admin.,single,secondary,cellular,6,150,1,0,no
52,services,married,secondary,telephone,7,398,2,2,yes
37,management,married,tertiary,cellular,30,224,1,0,yes
51,blue-collar,married,primary,unknown,7,406,2,0,no
41,technician,single,secondary,cellular,7,60,4,0,no
35,blue-collar,single,primary,unknown,30,521,2,0,no
38,admin.,married,secondary,cellular,17,279,1,0,no
34,blue-collar,married,secondary,unknown,20,203,2,0,no
39,blue-collar,married,primary,cellular,18,201,2,0,no
34,blue-collar,married,primary,unknown,20,372,3,0,no
27,services,single,secondary,cellular,18,391,1,0,
32,management,single,tertiary,cellular,14,165,2,0,no
57,blue-collar,married,secondary,cellular,11,231,5,0,no
41,admin.,married,tertiary,unknown,14,149,2,0,no
30,admin.,single,tertiary,cellular,19,233,1,20,no
36,blue-collar,divorced,secondary,cellular,12,473,1,1,no
31,unemployed,single,primary,cellular,4,736,1,0,yes
36,blue-collar,married,secondary,unknown,6,337,1,0,no
38,management,single,tertiary,cellular,11,553,1,7,no
49,technician,married,secondary,telephone,21,345,2,0,no
57,services,single,primary,telephone,13,65,2,0,no
34,management,single,secondary,unknown,13,9,1,0,no
32,management,single,tertiary,cellular,14,259,2,3,no
37,blue-collar,married,secondary,unknown,9,371,3,0,no
33,self-employed,married,tertiary,cellular,3,280,2,0,no
56,unemployed,married,primary,cellular,21,243,1,0,yes
27,housemaid,married,primary,cellular,23,435,3,0,no
21,student,single,secondary,cellular,30,258,6,3,yes
58,management,married,tertiary,telephone,29,7,5,0,no
32,self-employed,married,secondary,cellular,15,317,5,0,no
33,blue-collar,single,secondary,cellular,30,76,2,1,no
25,student,single,secondary,telephone,26,170,4,0,yes
25,technician,single,secondary,cellular,17,386,2,0,yes
30,services,,secondary,cellular,18,83,2,0,no
22,admin.,single,secondary,cellular,19,65,1,0,no
39,blue-collar,married,primary,cellular,,69,1,0,no
46,management,divorced,tertiary,,17,564,2,0,no
31,admin.,divorced,secondary,cellular,21,588,1,0,no
45,blue-collar,married,primary,cellular,18,113,4,0,no
32,technician,married,secondary,unknown,21,16,1,0,no
36,blue-collar,married,secondary,cellular,15,779,2,0,no
51,management,single,tertiary,cellular,11,281,2,6,no
34,self-employed,single,tertiary,cellular,21,1877,3,0,yes
24,unemployed,single,secondary,unknown,15,51,1,0,no
45,technician,single,secondary,cellular,28,32,3,0,no
32,blue-collar,single,secondary,telephone,5,176,1,3,no
77,retired,divorced,tertiary,cellular,14,161,1,0,yes
41,blue-collar,married,primary,cellular,18,187,3,0,no
37,blue-collar,married,,unknown,26,24,1,0,no
43,blue-collar,married,unknown,unknown,30,67,3,0,no
48,admin.,married,unknown,cellular,8,85,1,2,no
27,technician,single,secondary,unknown,9,317,2,0,no
33,management,single,tertiary,cellular,28,236,10,0,no
29,admin.,single,secondary,cellular,7,54,1,2,no
34,management,single,tertiary,cellular,5,71,1,0,no
52,management,married,tertiary,cellular,4,489,1,0,yes
60,management,married,unknown,unknown,19,39,2,0,no
32,management,divorced,tertiary,cellular,12,204,2,0,no
32,management,single,tertiary,cellular,22,455,2,0,no
56,services,divorced,unknown,,30,86,1,0,no
31,management,single,tertiary,cellular,18,190,2,0,no
42,admin.,married,secondary,unknown,8,280,2,0,no
35,management,married,tertiary,cellular,11,588,2,0,no
56,retired,married,primary,unknown,19,45,9,0,no
48,technician,married,secondary,cellular,21,168,5,0,no
46,admin.,married,secondary,cellular,29,194,4,1,no
37,technician,single,unknown,unknown,8,103,3,0,no
41,entrepreneur,married,unknown,unknown,6,333,2,0,no
36,management,single,tertiary,cellular,29,102,3,0,no
45,unemployed,divorced,primary,unknown,1,92,1,0,no
55,entrepreneur,married,secondary,cellular,6,213,2,0,no
39,technician,married,secondary,unknown,26,289,1,0,no
35,technician,divorced,secondary,cellular,22,77,2,0,no
55,admin.,married,secondary,cellular,1,324,3,2,yes
55,technician,married,secondary,,29,84,3,3,no
27,self-employed,single,secondary,cellular,29,168,1,0,no
34,technician,married,secondary,cellular,17,380,1,0,no
34,blue-collar,married,tertiary,unknown,4,10,1,0,no
25,admin.,single,secondary,unknown,28,199,2,0,no
41,admin.,single,secondary,unknown,9,35,3,0,no
43,services,married,secondary,unknown,26,82,2,0,no
28,management,single,tertiary,cellular,20,676,2,2,yes
31,admin.,single,secondary,unknown,3,455,1,0,no
78,housemaid,married,secondary,telephone,16,80,4,0,no
45,blue-collar,divorced,secondary,cellular,29,549,2,0,no
48,technician,married,tertiary,unknown,6,135,1,0,no
32,blue-collar,single,secondary,cellular,10,412,1,0,no
42,technician,,secondary,unknown,20,101,3,0,no
37,management,single,tertiary,cellular,28,253,2,0,no
40,admin.,single,secondary,cellular,6,272,1,4,no
32,admin.,married,secondary,cellular,17,84,1,0,no
42,management,married,tertiary,cellular,20,135,2,0,no
43,admin.,married,secondary,cellular,23,166,1,0,no
44,admin.,married,secondary,cellular,31,18,7,0,no
37,admin.,married,secondary,cellular,5,147,2,1,no
37,admin.,married,tertiary,cellular,17,65,2,1,no
28,technician,single,tertiary,cellular,2,194,2,0,no
32,services,single,secondary,cellular,11,333,2,0,no
34,admin.,single,secondary,cellular,15,14,5,0,no
40,admin.,divorced,secondary,unknown,11,140,1,0,no
34,services,married,secondary,unknown,16,109,3,0,no
34,self-employed,married,tertiary,cellular,23,61,2,0,no
34,admin.,married,tertiary,telephone,19,377,3,4,no
37,services,single,secondary,cellular,2,96,1,2,no
36,technician,married,secondary,cellular,8,152,2,1,no
56,retired,married,secondary,cellular,15,382,2,0,yes
49,blue-collar,married,primary,telephone,23,97,6,0,no
33,self-employed,married,secondary,cellular,29,543,12,0,no
30,management,single,tertiary,cellular,20,240,2,0,no
36,services,married,secondary,unknown,17,48,2,0,no
23,student,single,secondary,cellular,5,471,2,0,no
57,retired,divorced,secondary,cellular,,354,3,0,no
27,blue-collar,single,secondary,unknown,30,435,2,0,no
38,services,married,secondary,cellular,21,152,2,0,no
42,technician,married,tertiary,cellular,3,285,1,0,no
75,retired,married,secondary,telephone,15,185,1,2,yes
34,technician,single,tertiary,cellular,4,301,1,2,no
48,technician,married,secondary,cellular,6,273,2,0,no
35,technician,single,tertiary,cellular,19,768,2,3,yes
39,management,divorced,tertiary,cellular,19,1337,4,1,no
29,blue-collar,single,tertiary,telephone,21,403,1,0,yes
45,technician,single,tertiary,cellular,18,139,2,0,no
42,technician,married,secondary,cellular,9,196,1,0,no
29,technician,married,secondary,cellular,8,115,1,1,no
38,services,single,secondary,cellular,2,60,1,1,no
56,retired,married,secondary,cellular,28,17,14,0,no
36,technician,single,secondary,cellular,13,141,3,0,no
25,blue-collar,single,secondary,unknown,23,95,3,0,no
38,technician,,tertiary,cellular,15,10,2,1,no
,self-employed,married,secondary,cellular,19,198,1,0,no
31,management,married,tertiary,cellular,12,220,4,0,no
42,management,married,tertiary,cellular,3,654,2,0,yes
45,technician,married,secondary,cellular,11,71,2,0,no
30,blue-collar,married,secondary,cellular,13,256,2,2,no
49,blue-collar,married,primary,telephone,10,834,10,0,no
49,services,married,secondary,cellular,21,151,3,0,no
53,retired,married,tertiary,cellular,31,20,3,0,no
37,technician,married,secondary,unknown,26,178,5,0,no
49,blue-collar,married,primary,unknown,26,59,2,0,no
41,self-employed,married,primary,cellular,13,111,7,0,no
54,management,married,primary,cellular,20,186,1,0,no
32,services,single,secondary,unknown,6,227,1,0,no
33,technician,married,secondary,cellular,15,297,3,0,no
33,technician,married,secondary,cellular,20,210,1,1,no
36,blue-collar,married,primary,cellular,18,9,1,0,no
35,technician,married,tertiary,cellular,23,112,1,6,no
40,entrepreneur,married,tertiary,unknown,9,222,3,0,no
44,technician,single,secondary,cellular,13,195,3,10,no
45,blue-collar,single,secondary,cellular,26,768,2,5,no
30,student,single,secondary,cellular,26,123,1,0,no
48,technician,divorced,secondary,cellular,27,145,3,0,no
33,blue-collar,married,secondary,cellular,2,124,1,2,no
57,technician,married,unknown,unknown,5,216,3,0,no
57,housemaid,married,primary,unknown,6,69,3,0,no
51,unemployed,married,tertiary,cellular,22,168,4,0,no
34,admin.,single,secondary,cellular,22,483,7,0,no
50,self-employed,married,tertiary,cellular,19,690,3,0,no
44,management,married,tertiary,cellular,28,125,12,0,no
27,admin.,married,secondary,unknown,4,344,2,0,no
50,blue-collar,married,secondary,unknown,14,673,2,0,no
36,management,married,tertiary,cellular,28,60,1,1,no
42,management,married,secondary,unknown,12,247,2,0,no
32,unemployed,single,secondary,cellular,27,123,2,0,no
42,management,married,tertiary,cellular,11,144,2,0,no
43,technician,married,secondary,cellular,8,9,2,5,no
31,management,married,tertiary,cellular,9,155,3,0,no
32,management,married,tertiary,cellular,14,134,5,0,no
55,blue-collar,divorced,primary,cellular,11,221,2,0,no
,retired,married,,,3,84,3,2,no
46,blue-collar,married,primary,cellular,8,71,2,0,no
55,blue-collar,married,secondary,unknown,23,246,4,0,no
34,management,married,tertiary,cellular,23,361,2,0,no
28,unemployed,single,secondary,cellular,12,119,4,0,no
42,technician,divorced,tertiary,cellular,29,375,2,0,no
29,blue-collar,single,secondary,cellular,10,1097,3,0,yes
54,housemaid,married,secondary,cellular,25,97,1,0,no
32,technician,single,secondary,cellular,26,181,2,0,no
39,technician,single,tertiary,cellular,2,83,3,0,no
53,entrepreneur,married,tertiary,cellular,21,180,4,0,no
58,technician,married,tertiary,cellular,18,543,1,2,no
40,self-employed,married,secondary,unknown,23,373,1,0,no
29,student,single,secondary,unknown,7,230,1,0,no
33,technician,married,tertiary,cellular,15,83,3,0,no
38,admin.,single,secondary,telephone,31,58,13,0,no
56,services,divorced,secondary,cellular,29,88,6,0,no
40,services,married,secondary,cellular,2,297,1,3,no
24,blue-collar,single,secondary,cellular,18,487,1,0,yes
46,management,married,secondary,unknown,20,29,3,0,no
35,self-employed,married,secondary,cellular,21,484,4,0,no
35,blue-collar,single,tertiary,cellular,21,262,4,0,no
34,technician,married,secondary,unknown,15,644,1,0,no
35,housemaid,married,tertiary,cellular,12,699,2,1,no
38,technician,single,tertiary,cellular,28,247,2,0,no
50,blue-collar,married,primary,cellular,18,49,3,0,no
51,blue-collar,divorced,primary,cellular,13,341,1,0,no
59,self-employed,married,tertiary,unknown,13,64,2,0,no
32,blue-collar,married,secondary,cellular,20,121,1,0,no
37,blue-collar,single,secondary,unknown,2,98,1,0,no
42,admin.,divorced,secondary,unknown,16,88,6,0,no
40,student,married,secondary,unknown,20,197,6,0,no
28,technician,single,tertiary,unknown,9,331,1,0,no
47,admin.,married,secondary,unknown,6,83,3,0,no
27,self-employed,married,secondary,unknown,26,138,2,0,no
41,management,married,tertiary,cellular,17,312,5,0,no
34,admin.,married,tertiary,cellular,4,120,3,6,yes
50,blue-collar,married,primary,cellular,7,526,2,0,yes
47,blue-collar,married,secondary,unknown,28,211,2,0,no
53,services,married,secondary,cellular,18,62,6,0,no
53,technician,divorced,secondary,cellular,15,135,5,0,no
47,management,married,tertiary,cellular,14,101,2,0,no
49,entrepreneur,divorced,unknown,cellular,30,988,2,0,yes
29,management,married,tertiary,cellular,28,451,1,0,no
45,blue-collar,divorced,primary,unknown,23,1030,1,0,yes
38,entrepreneur,married,secondary,cellular,24,1484,24,0,yes
32,blue-collar,married,secondary,cellular,9,317,5,0,yes
70,retired,divorced,primary,cellular,18,445,1,0,no
65,retired,divorced,primary,cellular,1,383,2,5,no
56,blue-collar,married,secondary,telephone,22,605,1,0,no
35,blue-collar,married,secondary,cellular,14,330,2,0,no
56,management,married,unknown,cellular,25,171,2,0,no
56,technician,married,secondary,cellular,23,442,2,,no
49,entrepreneur,married,secondary,cellular,17,772,1,0,yes
38,unemployed,married,primary,unknown,8,249,5,0,no
35,management,married,tertiary,,9,357,1,0,no
38,admin.,married,tertiary,cellular,18,147,2,0,no
49,blue-collar,married,secondary,cellular,6,199,7,1,no
,management,married,unknown,cellular,28,271,2,0,no
43,blue-collar,single,primary,cellular,30,783,3,0,no
43,management,married,tertiary,cellular,20,472,2,0,no
25,admin.,single,tertiary,cellular,27,223,3,2,yes
30,blue-collar,married,primary,unknown,21,395,2,0,no
46,blue-collar,married,secondary,cellular,4,56,1,0,no
50,admin.,married,primary,unknown,17,641,6,0,no
35,entrepreneur,married,secondary,cellular,4,429,4,2,yes
26,unemployed,single,secondary,unknown,31,113,1,0,no
45,admin.,married,unknown,unknown,20,11,11,0,no
37,blue-collar,married,secondary,cellular,2,157,1,0,no
60,self-employed,single,tertiary,cellular,29,79,4,0,no
38,management,married,tertiary,cellular,4,178,1,1,yes
47,blue-collar,married,primary,unknown,9,168,1,0,no
33,technician,married,secondary,cellular,9,425,1,1,no
51,unemployed,married,secondary,cellular,19,162,1,0,no
35,entrepreneur,single,tertiary,cellular,18,799,2,0,yes
35,unemployed,married,secondary,cellular,29,1370,3,3,yes
48,admin.,single,secondary,unknown,28,357,1,0,no
37,admin.,married,secondary,cellular,22,22,6,0,no
29,technician,single,tertiary,cellular,16,215,3,3,no
34,admin.,married,secondary,cellular,31,56,4,0,no
32,services,married,primary,cellular,21,1017,6,0,yes
30,management,single,tertiary,cellular,16,298,4,0,yes
47,management,divorced,tertiary,unknown,7,126,1,0,no
33,blue-collar,married,primary,unknown,20,9,1,0,no
33,management,single,tertiary,cellular,5,8,1,5,no
63,retired,married,primary,cellular,14,201,1,1,no
51,self-employed,divorced,primary,cellular,6,106,2,0,no
41,management,married,tertiary,cellular,21,164,1,1,no
56,retired,married,tertiary,cellular,5,97,1,0,no
60,management,single,tertiary,cellular,23,151,1,0,no
41,self-employed,single,tertiary,unknown,30,96,2,0,no
37,management,single,unknown,cellular,16,555,1,0,no
36,blue-collar,single,secondary,cellular,11,270,2,1,no
57,management,married,tertiary,cellular,29,339,3,0,no
55,management,married,primary,cellular,4,328,2,2,yes
44,admin.,married,secondary,unknown,16,159,1,0,no
47,self-employed,married,tertiary,cellular,6,323,2,1,no
31,blue-collar,married,secondary,cellular,20,342,1,0,no
35,management,married,tertiary,cellular,21,180,1,0,no
39,management,married,tertiary,cellular,28,60,3,0,no
50,management,married,tertiary,cellular,17,223,1,2,no
29,management,married,tertiary,cellular,18,1434,2,4,no
30,services,single,secondary,unknown,6,30,2,0,no
46,services,married,secondary,unknown,16,134,4,0,no
27,management,single,unknown,cellular,9,10,2,0,no
48,admin.,divorced,secondary,cellular,2,397,2,0,yes
26,student,single,secondary,cellular,5,620,1,0,no
36,management,single,tertiary,cellular,21,6,6,0,no
42,blue-collar,married,primary,cellular,7,209,2,0,no
50,housemaid,married,primary,unknown,15,419,2,0,no
49,blue-collar,married,secondary,cellular,18,283,2,0,no
45,management,married,tertiary,cellular,8,188,2,0,no
23,student,single,secondary,cellular,16,267,1,0,no
38,technician,single,secondary,cellular,7,196,2,0,no
32,management,single,tertiary,cellular,17,245,1,2,no
60,technician,single,primary,cellular,26,323,1,0,yes
30,entrepreneur,married,secondary,cellular,19,1065,1,1,no
58,housemaid,married,tertiary,unknown,11,138,5,0,no
60,retired,married,primary,cellular,4,207,1,0,no
38,services,married,secondary,unknown,25,456,3,0,no
51,technician,married,secondary,cellular,5,261,1,0,no
42,admin.,married,secondary,cellular,11,80,1,4,no
30,services,single,secondary,cellular,18,131,6,9,no
40,management,married,primary,unknown,6,94,7,0,no
37,management,married,tertiary,cellular,14,567,3,4,yes
53,technician,divorced,primary,unknown,30,153,1,0,no
27,services,single,secondary,cellular,13,109,1,0,no
39,blue-collar,married,secondary,cellular,30,53,1,1,no
39,blue-collar,married,primary,unknown,16,77,1,0,no
59,retired,married,tertiary,telephone,27,234,2,0,yes
37,services,married,secondary,telephone,13,121,2,4,no
41,blue-collar,married,primary,cellular,15,155,2,0,no
45,blue-collar,married,primary,cellular,17,108,1,0,no
48,management,married,tertiary,unknown,17,159,3,0,no
48,technician,married,secondary,unknown,26,208,3,0,no
32,blue-collar,married,secondary,cellular,12,215,1,0,no
35,services,married,secondary,unknown,6,597,3,0,no
33,management,single,tertiary,cellular,4,505,2,1,no
28,blue-collar,single,primary,unknown,3,380,4,0,no
64,retired,married,unknown,cellular,12,120,1,0,no
35,technician,married,secondary,cellular,27,106,4,0,no
33,blue-collar,married,secondary,cellular,14,332,2,2,no
41,technician,married,secondary,unknown,15,221,4,0,no
34,admin.,married,secondary,cellular,4,80,1,0,no
37,technician,single,tertiary,cellular,4,60,5,1,no
38,blue-collar,married,primary,telephone,13,212,3,0,no
39,blue-collar,married,primary,cellular,14,493,3,0,no
35,technician,divorced,tertiary,cellular,19,98,2,0,no
28,blue-collar,single,secondary,cellular,8,681,1,0,yes
27,blue-collar,single,secondary,cellular,22,203,1,0,no
48,retired,married,primary,cellular,19,157,1,0,no
50,blue-collar,married,secondary,unknown,16,287,1,0,no
45,self-employed,married,secondary,cellular,7,159,2,0,no
41,technician,married,tertiary,unknown,14,125,1,0,no
39,technician,married,secondary,cellular,8,202,2,0,no
44,management,married,secondary,telephone,8,37,3,1,no
54,admin.,married,secondary,cellular,28,161,1,2,yes
49,management,married,tertiary,cellular,6,72,4,0,no
34,blue-collar,single,secondary,cellular,2,342,1,0,no
75,retired,divorced,tertiary,cellular,16,262,1,1,yes
42,management,married,tertiary,cellular,13,325,2,0,no
53,blue-collar,married,secondary,telephone,19,223,7,0,no
49,management,divorced,tertiary,cellular,31,1212,4,0,yes
31,services,single,secondary,cellular,29,319,2,0,no
45,blue-collar,single,primary,cellular,29,182,2,0,no
39,self-employed,married,secondary,cellular,17,330,1,0,no
46,technician,married,secondary,cellular,19,514,1,0,no
42,admin.,divorced,secondary,unknown,14,213,1,0,no
37,management,married,tertiary,cellular,7,551,1,1,no
26,technician,single,tertiary,cellular,16,472,2,0,no
37,management,single,tertiary,cellular,15,140,4,2,no
36,services,single,secondary,unknown,7,142,1,0,no
29,blue-collar,single,primary,unknown,4,135,3,0,no
36,blue-collar,married,primary,unknown,23,293,1,0,no
26,technician,married,tertiary,unknown,13,107,1,0,no
32,blue-collar,married,secondary,unknown,20,127,2,0,no
40,management,married,tertiary,cellular,20,1816,1,0,no
53,management,married,primary,cellular,4,200,3,0,no
29,management,married,tertiary,cellular,12,418,1,0,no
34,technician,single,tertiary,cellular,22,387,4,0,no
43,blue-collar,married,secondary,cellular,5,156,1,3,no
56,management,married,tertiary,cellular,21,121,2,0,no
55,entrepreneur,divorced,tertiary,unknown,6,108,2,0,no
31,self-employed,married,tertiary,cellular,7,47,1,0,no
27,admin.,single,secondary,cellular,20,16,5,4,no
36,management,married,secondary,cellular,18,54,2,0,no
44,management,married,tertiary,cellular,6,265,2,0,no
37,admin.,divorced,tertiary,unknown,23,168,1,0,no
30,admin.,single,secondary,cellular,7,115,3,0,no
42,technician,single,secondary,cellular,26,31,8,0,no
30,management,married,tertiary,telephone,25,279,4,0,yes
62,retired,married,secondary,cellular,1,28,2,0,no
24,blue-collar,married,secondary,cellular,20,369,1,0,no
31,technician,married,secondary,unknown,13,247,1,0,no
66,retired,married,tertiary,cellular,22,155,1,0,no
47,admin.,married,secondary,cellular,10,89,1,0,no
39,entrepreneur,married,tertiary,cellular,17,180,1,0,no
35,technician,married,secondary,cellular,18,854,1,0,yes
35,admin.,divorced,secondary,cellular,17,46,1,0,no
27,technician,married,secondary,unknown,28,266,2,0,no
32,blue-collar,married,secondary,cellular,5,321,2,0,no
44,management,married,tertiary,cellular,28,99,24,0,no
42,blue-collar,married,secondary,unknown,9,147,1,0,no
34,self-employed,single,tertiary,cellular,30,430,1,0,yes
25,services,single,secondary,cellular,7,264,1,0,no
40,technician,single,secondary,cellular,16,156,6,0,no
43,management,divorced,tertiary,cellular,26,118,1,2,no
55,unemployed,married,tertiary,unknown,6,343,3,0,no
50,blue-collar,married,secondary,cellular,7,226,3,0,no
45,management,divorced,tertiary,unknown,1,5,1,0,no
35,blue-collar,divorced,secondary,cellular,20,138,1,0,no
32,blue-collar,married,secondary,cellular,10,185,1,5,yes
59,housemaid,married,secondary,telephone,3,722,1,4,no
34,self-employed,married,secondary,unknown,21,748,1,0,no
39,management,married,tertiary,unknown,26,142,1,0,no
40,management,single,secondary,cellular,17,523,3,0,no
36,blue-collar,single,primary,unknown,20,8,10,0,no
40,management,married,tertiary,cellular,17,153,1,0,no
55,self-employed,married,secondary,unknown,20,210,2,0,no
38,entrepreneur,married,secondary,cellular,10,121,1,0,no
61,admin.,married,secondary,cellular,12,212,1,0,yes
41,management,married,tertiary,unknown,21,253,3,0,no
57,blue-collar,married,primary,unknown,13,139,4,0,no
48,blue-collar,married,secondary,unknown,9,71,1,0,no
77,retired,married,tertiary,telephone,4,421,1,2,yes
35,services,married,secondary,unknown,28,199,1,0,no
54,blue-collar,married,secondary,unknown,14,108,1,0,no
37,management,single,unknown,unknown,20,247,2,0,no
56,management,single,secondary,telephone,9,236,4,0,no
40,technician,married,secondary,cellular,4,97,4,5,no
40,management,married,tertiary,cellular,14,109,8,0,no
54,management,married,tertiary,cellular,2,112,2,0,no
55,housemaid,married,primary,unknown,19,15,10,0,no
55,services,divorced,secondary,cellular,22,502,3,0,no
52,blue-collar,married,primary,unknown,16,30,3,0,no
55,blue-collar,single,primary,unknown,2,193,2,0,no
33,management,married,tertiary,cellular,13,347,2,0,no
52,blue-collar,married,unknown,unknown,15,468,2,0,no
33,services,divorced,secondary,unknown,27,148,1,0,no
53,admin.,married,secondary,telephone,16,295,1,2,yes
46,admin.,married,secondary,,26,388,6,0,yes
44,technician,single,secondary,cellular,12,1735,4,0,yes
48,management,divorced,tertiary,unknown,6,339,1,0,no
50,housemaid,married,secondary,cellular,13,172,1,1,no
34,technician,single,secondary,cellular,19,117,2,0,no
38,technician,single,secondary,unknown,20,587,2,0,no
42,management,single,tertiary,cellular,19,501,2,0,no
32,management,single,tertiary,cellular,14,203,5,1,no
58,admin.,married,secondary,telephone,25,282,9,0,no
31,management,married,tertiary,cellular,28,110,5,0,no
19,student,single,primary,cellular,10,104,2,0,yes
41,management,married,tertiary,cellular,15,231,1,0,no
31,unemployed,married,secondary,unknown,20,378,3,0,no
52,self-employed,single,primary,cellular,15,193,6,0,no
42,self-employed,divorced,tertiary,unknown,24,110,5,0,no
41,blue-collar,single,secondary,cellular,12,92,1,0,no
30,blue-collar,single,secondary,cellular,23,1407,1,0,yes
38,blue-collar,married,secondary,cellular,6,168,1,2,no
32,management,married,tertiary,cellular,17,738,3,0,no
52,technician,married,secondary,cellular,18,220,1,5,yes
48,management,divorced,tertiary,unknown,27,89,2,0,no
36,management,married,tertiary,cellular,31,30,29,0,no
45,unemployed,divorced,primary,cellular,20,103,1,4,no
34,technician,married,tertiary,unknown,2,70,1,0,no
36,blue-collar,married,primary,cellular,20,904,2,0,yes
34,management,married,tertiary,cellular,14,159,1,2,no
61,retired,married,secondary,cellular,11,336,1,2,no
54,services,married,secondary,unknown,19,220,1,0,no
50,entrepreneur,married,secondary,telephone,17,238,1,0,no
43,admin.,divorced,secondary,cellular,21,585,4,4,no
47,blue-collar,married,primary,cellular,8,293,3,0,no
45,services,married,secondary,unknown,28,68,1,0,no
57,retired,married,primary,unknown,17,97,1,0,no
27,admin.,married,secondary,unknown,9,1713,1,0,no
49,unemployed,divorced,secondary,cellular,9,218,3,0,no
43,services,married,primary,cellular,14,109,1,2,no
40,management,married,tertiary,telephone,21,661,1,0,no
32,services,single,secondary,cellular,6,145,1,0,no
58,management,married,primary,telephone,18,54,4,0,no
