"","age","days_since._signed_in","Time.spend.on.website","Number_of_campaigns","previous_purchases","Purchase_Made","admin.","bluecollar","entrepreneur","housemaid","management","retired","selfemployed","services","student","technician","married","single","primary","secondary","tertiary","cellular","telephone"
"71",37,16,268,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"72",42,5,380,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"73",31,9,154,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"74",41,3,154,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"75",56,15,221,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"76",54,14,67,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"77",41,14,367,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"78",40,14,87,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"79",50,5,701,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"80",41,17,185,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"81",27,16,652,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"82",60,26,63,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
"83",28,6,150,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"84",52,7,398,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"85",37,30,224,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"86",51,7,406,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"87",41,7,60,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"88",35,30,521,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"89",38,17,279,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"90",34,20,203,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"91",39,18,201,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"92",34,20,372,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"94",32,14,165,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"95",57,11,231,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"96",41,14,149,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"97",30,19,233,1,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"98",36,12,473,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"99",31,4,736,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"100",36,6,337,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"101",38,11,553,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"102",49,21,345,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"103",57,13,65,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
"104",34,13,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"105",32,14,259,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"106",37,9,371,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"107",33,3,280,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"108",56,21,243,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"109",27,23,435,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"110",21,30,258,6,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"111",58,29,7,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"112",32,15,317,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"113",33,30,76,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"114",25,26,170,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"115",25,17,386,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"117",22,19,65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"118",39,15.91,69,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"120",31,21,588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"121",45,18,113,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"122",32,21,16,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"123",36,15,779,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"124",51,11,281,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"125",34,21,1877,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
"126",24,15,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"127",45,28,32,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"128",32,5,176,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"129",77,14,161,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"130",41,18,187,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"132",43,30,67,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"133",48,8,85,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"134",27,9,317,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"135",33,28,236,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"136",29,7,54,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"137",34,5,71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"138",52,4,489,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"139",60,19,39,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"140",32,12,204,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"141",32,22,455,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"143",31,18,190,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"144",42,8,280,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"145",35,11,588,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"146",56,19,45,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"147",48,21,168,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"148",46,29,194,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"149",37,8,103,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"150",41,6,333,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"151",36,29,102,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"152",45,1,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"153",55,6,213,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"154",39,26,289,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"155",35,22,77,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"156",55,1,324,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"158",27,29,168,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"159",34,17,380,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"160",34,4,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"161",25,28,199,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"162",41,9,35,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"163",43,26,82,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"164",28,20,676,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"165",31,3,455,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"166",78,16,80,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
"167",45,29,549,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"168",48,6,135,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"169",32,10,412,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"171",37,28,253,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"172",40,6,272,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"173",32,17,84,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"174",42,20,135,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"175",43,23,166,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"176",44,31,18,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"177",37,5,147,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"178",37,17,65,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"179",28,2,194,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"180",32,11,333,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"181",34,15,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"182",40,11,140,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"183",34,16,109,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"184",34,23,61,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"185",34,19,377,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"186",37,2,96,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"187",36,8,152,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"188",56,15,382,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"189",49,23,97,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"190",33,29,543,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"191",30,20,240,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
"192",36,17,48,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"193",23,5,471,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"194",57,15.91,354,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"195",27,30,435,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"196",38,21,152,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"197",42,3,285,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"198",75,15,185,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"199",34,4,301,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"200",48,6,273,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"201",35,19,768,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"202",39,19,1337,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"203",29,21,403,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"204",45,18,139,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"205",42,9,196,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"206",29,8,115,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"207",38,2,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"208",56,28,17,14,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
"209",36,13,141,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"210",25,23,95,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"212",41,19,198,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"213",31,12,220,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"214",42,3,654,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"215",45,11,71,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"216",30,13,256,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"217",49,10,834,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"218",49,21,151,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"219",53,31,20,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"220",37,26,178,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"221",49,26,59,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"222",41,13,111,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
"223",54,20,186,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"224",32,6,227,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"225",33,15,297,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"226",33,20,210,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"227",36,18,9,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"228",35,23,112,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"229",40,9,222,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"230",44,13,195,3,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"231",45,26,768,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"232",30,26,123,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"233",48,27,145,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"234",33,2,124,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"235",57,5,216,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"236",57,6,69,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"237",51,22,168,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"238",34,22,483,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"239",50,19,690,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"240",44,28,125,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"241",27,4,344,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"242",50,14,673,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"243",36,28,60,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"244",42,12,247,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"245",32,27,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"246",42,11,144,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"247",43,8,9,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"248",31,9,155,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"249",32,14,134,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"250",55,11,221,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"252",46,8,71,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"253",55,23,246,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"254",34,23,361,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"255",28,12,119,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"256",42,29,375,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"257",29,10,1097,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"258",54,25,97,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
"259",32,26,181,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"260",39,2,83,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"261",53,21,180,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"262",58,18,543,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"263",40,23,373,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"264",29,7,230,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"265",33,15,83,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"266",38,31,58,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"267",56,29,88,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"268",40,2,297,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"269",24,18,487,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"270",46,20,29,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"271",35,21,484,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"272",35,21,262,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"273",34,15,644,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"274",35,12,699,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"275",38,28,247,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
"276",50,18,49,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"277",51,13,341,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"278",59,13,64,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"279",32,20,121,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"280",37,2,98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"281",42,16,88,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"282",40,20,197,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"283",28,9,331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"284",47,6,83,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"285",27,26,138,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"286",41,17,312,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"287",34,4,120,3,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"288",50,7,526,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"289",47,28,211,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"290",53,18,62,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"291",53,15,135,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
